window_start,window_end,if_score,if_label
0,49,-0.2924687618629951,-1
50,99,0.12864031821271782,1
100,149,0.11685104509394872,1
150,199,0.12854119593383634,1
200,249,0.13389018375645845,1
250,299,0.11690089379568924,1
300,349,0.12254803893717348,1
350,399,0.1471676708723697,1
400,449,0.13844675404209578,1
450,499,0.05164926360455857,1
500,549,0.1678674288661205,1
550,599,0.10069613507615455,1
600,649,0.1411894553049302,1
650,699,0.06073232043020926,1
700,749,0.0016162628329295936,1
750,799,0.10578572124550506,1
800,849,0.15431288800280457,1
850,899,-0.006465051331718263,-1
900,949,0.15013842482931455,1
